date,symbol,signal,confidence,predicted_return_1d,predicted_price_1d,close,weight,portfolio_impact_score,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,var_95,expected_shortfall_95,signal_reason,signal_source
2021-04-30,BAJAJFINSV,SELL,0.736101922411669,-0.012605662356203836,10902.462688244621,11041.65,0.14897743968308852,-0.0013823694533970504,0.41360781736327823,0.3640031250652045,0.9714417075401094,1.326201150308155,-0.5858958485989332,-0.03106277432851448,-0.04911502268721487,close above 20-day MA; close above 50-day MA; MACD bullish; RSI neutral; positive 20-day momentum,model_plus_indicators
2021-04-30,UPL,HOLD,0.6058006849026325,3.329528318708505e-05,606.9202069073663,606.9,0.0,0.0,0.09696069175958533,0.39693887783471105,0.09311431513386828,0.11812981334022125,-0.7538907684871922,-0.03397871221283769,-0.05646383941220339,close below 20-day MA; close above 50-day MA; MACD bearish; RSI neutral; negative 20-day momentum,model_plus_indicators
2021-04-30,KOTAKBANK,HOLD,0.6015113900042255,-0.0005728550002347448,1747.7981911755894,1748.8,0.0,-0.0,0.05439280559130211,0.3478460547849717,-0.01611975852985912,-0.016080385992031793,-0.5844977863862761,-0.025265581268946728,-0.045869145606123464,close below 20-day MA; close below 50-day MA; MACD bullish; RSI neutral; negative 20-day momentum,model_plus_indicators
2021-04-30,GAIL,HOLD,0.6003248994818182,-0.00033750558434343593,137.15369423382808,137.2,0.0,-0.0,-0.17187709055374745,0.42187471603497895,-0.5496349549768272,-0.5634835878259111,-0.8677843398742617,-0.031612707597561476,-0.05766902120986391,close above 20-day MA; close below 50-day MA; MACD bullish; RSI neutral; positive 20-day momentum,model_plus_indicators
2021-04-30,BHARTIARTL,HOLD,0.5984388769117354,-0.00044228461601470754,536.5126037323541,536.75,0.0,-0.0,0.06505344201493424,0.33743340944507255,0.014976116393586805,0.024128491598631143,-0.47468703976435955,-0.03240946266437277,-0.04428957511977494,close above 20-day MA; close below 50-day MA; MACD bullish; RSI neutral; positive 20-day momentum,model_plus_indicators
2021-04-30,LT,HOLD,0.5980423658348694,-0.000380131435270519,1339.9404528175917,1340.45,0.0,-0.0,-0.01825619712421056,0.31484453381994926,-0.24855504453179764,-0.30213883675965475,-0.6227350245150274,-0.02424161578169912,-0.04181318509467922,close below 20-day MA; close below 50-day MA; MACD bullish; RSI neutral; negative 20-day momentum,model_plus_indicators
2021-04-30,NTPC,HOLD,0.5972751005181819,-0.00033750558434343593,102.41542255288402,102.45,0.0,-0.0,-0.05169166109036294,0.2725305765719254,-0.4098316691480878,-0.5789164397134566,-0.5900187818620877,-0.025520783826853737,-0.03860662649041307,close below 20-day MA; close below 50-day MA; MACD bullish; RSI neutral; negative 20-day momentum,model_plus_indicators
2021-04-30,CIPLA,HOLD,0.5965243136114133,0.00029579520063407013,910.6192771608974,910.35,0.0,0.0,0.06150031521401633,0.2821380446107571,0.005317663614228975,0.008612338165380665,-0.4933747971876685,-0.02496646932793089,-0.03636368192147907,close above 20-day MA; close above 50-day MA; MACD bearish; RSI neutral; positive 20-day momentum,model_plus_indicators
2021-04-30,EICHERMOT,HOLD,0.594395763470387,-0.00017754241502149876,2421.220054410663,2421.65,0.0,-0.0,-0.2565341850769387,0.49811590612404244,-0.6354629137221616,-0.5710306282397161,-0.9382370796620407,-0.03271303187673295,-0.058977222657392615,close below 20-day MA; close below 50-day MA; MACD bullish; RSI neutral; negative 20-day momentum,model_plus_indicators
2021-04-30,HEROMOTOCO,HOLD,0.5936439004366377,-0.0001357722464798699,2818.7672376713363,2819.15,0.0,-0.0,-0.015451390751514582,0.29576826022250025,-0.2551030685130111,-0.38157196989735553,-0.6163202805665668,-0.02707331532551142,-0.04098008780375812,close below 20-day MA; close below 50-day MA; MACD bullish; RSI neutral; negative 20-day momentum,model_plus_indicators
2021-04-30,JSWSTEEL,HOLD,0.5936306841326522,-0.0048017046740362335,714.4030962997431,717.85,0.0,-0.0,-0.061670789011924576,0.5137302563288809,-0.23683788819717308,-0.21366575981634037,-0.9244584038012402,-0.033069827411907886,-0.05898657803020716,close above 20-day MA; close above 50-day MA; MACD bullish; RSI overbought; positive 20-day momentum,model_plus_indicators
2021-04-30,VEDL,HOLD,0.5764918063854568,-0.003893989243636495,256.24827126707453,257.25,0.0,-0.0,0.028449917743287534,0.4729326650402761,-0.06671157352606545,-0.088013286828667,-0.8219039351851851,-0.04418321848398849,-0.07118191056536706,close above 20-day MA; close above 50-day MA; MACD bullish; RSI overbought; positive 20-day momentum,model_plus_indicators
2021-04-30,AXISBANK,HOLD,0.5589811649191615,-0.002634379726713251,713.0166819333728,714.9,0.0,-0.0,0.05822376557143061,0.37803549816089005,-0.0046985916328244745,-0.006299117606426116,-0.6315629557608172,-0.03274241326369886,-0.0519860245046314,close above 20-day MA; close below 50-day MA; MACD bullish; RSI neutral; positive 20-day momentum,model_plus_indicators
2021-04-30,INDUSINDBK,HOLD,0.5295656568379546,-4.635239789141241e-05,934.9066628255915,934.95,0.0,-0.0,0.022962653832182323,0.44573096258018174,-0.08309350096170422,-0.11007643872221362,-0.8510664590593414,-0.03431690522232828,-0.061514772387568625,close above 20-day MA; close below 50-day MA; MACD bullish; RSI neutral; negative 20-day momentum,model_plus_indicators
2021-04-30,IOC,HOLD,0.5254680871362011,-0.00027399515909993973,90.82510753979577,90.85,0.0,-0.0,-0.1900776342351833,0.4329137059459668,-0.5776616235532082,-0.5469063988848581,-0.8899569363272839,-0.03000869057108288,-0.05770822290362131,close above 20-day MA; close below 50-day MA; MACD bullish; RSI neutral; negative 20-day momentum,model_plus_indicators
2021-04-30,BPCL,HOLD,0.5179615629871853,-0.0006910242784897035,421.5085259593331,421.8,0.0,-0.0,-0.06823048149917577,0.44730466152694814,-0.2866736981041957,-0.29632733055252053,-0.773052148592605,-0.032636377117668224,-0.06301586785951499,close above 20-day MA; close below 50-day MA; MACD bullish; RSI neutral; negative 20-day momentum,model_plus_indicators
2021-04-30,GRASIM,HOLD,0.5081833203177156,-0.0003898155379046871,1401.203576069742,1401.75,0.0,-0.0,-0.13306637416704414,0.45723277848214944,-0.42224963574999147,-0.37806486314729904,-0.9243109286619625,-0.027916574867233257,-0.055597858537470866,close above 20-day MA; close above 50-day MA; MACD bearish; RSI neutral; negative 20-day momentum,model_plus_indicators
